,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
0,03/07/21,Alaska,305.0,0,1293.0,1293.0,33.0,0,,0,56886.0,0,0,,0,1731628.0,0,0,58870.0,292.0,678.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,03/07/21,Alabama,10148.0,-1,45976.0,45976.0,494.0,0,1931711.0,2087,499819.0,408,0,295690.0,0,2323788.0,2347,2347,499819.0,10148.0,326.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2,03/07/21,Arkansas,5319.0,22,14926.0,14926.0,335.0,11,2480716.0,3267,324818.0,165,0,315517.0,0,2736442.0,3380,0,324818.0,5319.0,1382.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
3,03/07/21,American Samoa,0.0,0,,,,0,2140.0,0,0.0,0,0,,0,2140.0,0,0,,,,,,,,,,,,,,,,,,,,,,
4,03/07/21,Arizona,16328.0,5,57907.0,57907.0,963.0,44,3073010.0,13678,826454.0,1335,0,,0,7908105.0,45110,14856,826454.0,16328.0,1030.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
5,03/07/21,California,54124.0,258,,,4291.0,0,,0,3501394.0,3816,0,,0,49646014.0,133186,0,3599716.0,54217.0,1734.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
6,03/07/21,Colorado,5989.0,3,23904.0,23904.0,326.0,18,2199458.0,0,436602.0,840,0,,38163,6415123.0,38163,6107,437726.0,6075.0,2086.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,03/07/21,Connecticut,7704.0,0,,,428.0,0,,0,285330.0,0,0,,0,6520366.0,0,0,285330.0,7704.0,2438.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,03/07/21,District of Columbia,1030.0,0,,,150.0,0,,0,41419.0,146,0,29570.0,5726,1261363.0,5726,1149,41419.0,1030.0,3142.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
9,03/07/21,Delaware,1473.0,9,,,104.0,0,545070.0,917,88354.0,215,0,,5867,1431942.0,5867,1132,88354.0,1473.0,2790.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
10,03/07/21,Florida,32266.0,66,82237.0,82237.0,3307.0,92,9339038.0,19166,1909209.0,4024,0,,64599,22339182.0,64599,23190,1944987.0,31682.0,3494.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
